,location,date,vaccine,source_url,total_vaccinations,total_vaccinations_per_hundred,people_vaccinated,people_vaccinated_per_hundred,people_fully_vaccinated,people_fully_vaccinated_per_hundred,daily_vaccinations,daily_vaccinations_per_million
0,India,2021-01-15,"Covaxin, Oxford/AstraZeneca",https://twitter.com/MoHFW_INDIA/status/1350459098203004927,0.0,0.0,0.0,0.0,,,,
1,India,2021-01-16,"Covaxin, Oxford/AstraZeneca",https://twitter.com/MoHFW_INDIA/status/1350459098203004928,191181.0,0.01,191181.0,0.01,,,191181.0,139.0
2,India,2021-01-17,"Covaxin, Oxford/AstraZeneca",https://twitter.com/MoHFW_INDIA/status/1350815129177260034,224301.0,0.02,224301.0,0.02,,,112150.0,81.0
3,India,2021-01-18,"Covaxin, Oxford/AstraZeneca",https://www.mohfw.gov.in/,454049.0,0.03,454049.0,0.03,,,151350.0,110.0
4,India,2021-01-19,"Covaxin, Oxford/AstraZeneca",https://www.mohfw.gov.in/,674835.0,0.05,674835.0,0.05,,,168709.0,122.0
5,India,2021-01-20,"Covaxin, Oxford/AstraZeneca",https://www.mohfw.gov.in/,806484.0,0.06,806484.0,0.06,,,161297.0,117.0
6,India,2021-01-21,"Covaxin, Oxford/AstraZeneca",https://www.mohfw.gov.in/,1043534.0,0.08,1043534.0,0.08,,,173922.0,126.0
7,India,2021-01-22,"Covaxin, Oxford/AstraZeneca",https://www.mohfw.gov.in/,1390592.0,0.1,1390592.0,0.1,,,198656.0,144.0
8,India,2021-01-23,"Covaxin, Oxford/AstraZeneca",https://www.mohfw.gov.in/,1582201.0,0.11,1582201.0,0.11,,,198717.0,144.0
9,India,2021-01-24,"Covaxin, Oxford/AstraZeneca",https://www.mohfw.gov.in/,1615504.0,0.12,1615504.0,0.12,,,198743.0,144.0
10,India,2021-01-25,"Covaxin, Oxford/AstraZeneca",https://www.mohfw.gov.in/,2023809.0,0.15,2023809.0,0.15,,,224251.0,163.0
11,India,2021-01-26,"Covaxin, Oxford/AstraZeneca",https://www.mohfw.gov.in/,2029480.0,0.15,2029480.0,0.15,,,193521.0,140.0
12,India,2021-01-27,"Covaxin, Oxford/AstraZeneca",https://www.mohfw.gov.in/,2355979.0,0.17,2355979.0,0.17,,,221356.0,160.0
13,India,2021-01-28,"Covaxin, Oxford/AstraZeneca",https://www.mohfw.gov.in/,2928053.0,0.21,2928053.0,0.21,,,269217.0,195.0
14,India,2021-01-29,"Covaxin, Oxford/AstraZeneca",https://www.mohfw.gov.in/,3500027.0,0.25,3500027.0,0.25,,,301348.0,218.0
15,India,2021-01-30,"Covaxin, Oxford/AstraZeneca",https://www.mohfw.gov.in/,3744334.0,0.27,3744334.0,0.27,,,308876.0,224.0
16,India,2021-01-31,"Covaxin, Oxford/AstraZeneca",https://www.mohfw.gov.in/,3758843.0,0.27,3758843.0,0.27,,,306191.0,222.0
17,India,2021-02-01,"Covaxin, Oxford/AstraZeneca",https://www.mohfw.gov.in/,3950156.0,0.29,3950156.0,0.29,,,275192.0,199.0
18,India,2021-02-02,"Covaxin, Oxford/AstraZeneca",https://www.mohfw.gov.in/,4138918.0,0.3,4138918.0,0.3,,,301348.0,218.0
19,India,2021-02-03,"Covaxin, Oxford/AstraZeneca",https://www.mohfw.gov.in/,4449552.0,0.32,4449552.0,0.32,,,299082.0,217.0
20,India,2021-02-04,"Covaxin, Oxford/AstraZeneca",https://www.mohfw.gov.in/,4959445.0,0.36,4959445.0,0.36,,,290199.0,210.0
21,India,2021-02-05,"Covaxin, Oxford/AstraZeneca",https://www.mohfw.gov.in/,5416849.0,0.39,5416849.0,0.39,,,273832.0,198.0
22,India,2021-02-06,"Covaxin, Oxford/AstraZeneca",https://www.mohfw.gov.in/,5775322.0,0.42,5775322.0,0.42,,,290141.0,210.0
23,India,2021-02-07,"Covaxin, Oxford/AstraZeneca",https://www.mohfw.gov.in/,5812362.0,0.42,5812362.0,0.42,,,293360.0,213.0
24,India,2021-02-08,"Covaxin, Oxford/AstraZeneca",https://www.mohfw.gov.in/,6259008.0,0.45,6259008.0,0.45,,,329836.0,239.0
25,India,2021-02-09,"Covaxin, Oxford/AstraZeneca",https://www.mohfw.gov.in/,6611561.0,0.48,6611561.0,0.48,,,353235.0,256.0
26,India,2021-02-10,"Covaxin, Oxford/AstraZeneca",https://www.mohfw.gov.in/,7017114.0,0.51,7017114.0,0.51,,,366795.0,266.0
27,India,2021-02-11,"Covaxin, Oxford/AstraZeneca",https://www.mohfw.gov.in/,7505010.0,0.54,7505010.0,0.54,,,363652.0,264.0
28,India,2021-02-12,"Covaxin, Oxford/AstraZeneca",https://www.mohfw.gov.in/,7967647.0,0.58,7967647.0,0.58,,,364400.0,264.0
29,India,2021-02-13,"Covaxin, Oxford/AstraZeneca",https://pib.gov.in/PressReleseDetailm.aspx?PRID=1697804,8052454.0,0.58,8044786.0,0.58,7668.0,0.0,325305.0,236.0
30,India,2021-02-14,,,,,,,,,353179.0,256.0
31,India,2021-02-15,"Covaxin, Oxford/AstraZeneca",https://pib.gov.in/PressReleseDetailm.aspx?PRID=1698251,8516771.0,0.62,8418653.0,0.61,98118.0,0.01,322538.0,234.0
32,India,2021-02-16,"Covaxin, Oxford/AstraZeneca",https://pib.gov.in/PressReleseDetailm.aspx?PRID=1698525,8857341.0,0.64,8641002.0,0.63,216339.0,0.02,320826.0,232.0
33,India,2021-02-17,"Covaxin, Oxford/AstraZeneca",https://pib.gov.in/PressReleseDetailm.aspx?PRID=1698832,9186757.0,0.67,8844641.0,0.64,342116.0,0.02,309949.0,225.0
34,India,2021-02-18,"Covaxin, Oxford/AstraZeneca",https://pib.gov.in/PressReleseDetailm.aspx?PRID=1699157,9846523.0,0.71,9381591.0,0.68,464932.0,0.03,334502.0,242.0
35,India,2021-02-19,"Covaxin, Oxford/AstraZeneca",https://pib.gov.in/PressReleseDetailm.aspx?PRID=1699476,10449942.0,0.76,9693000.0,0.7,756942.0,0.05,354614.0,257.0
36,India,2021-02-20,"Covaxin, Oxford/AstraZeneca",https://pib.gov.in/PressReleseDetailm.aspx?PRID=1699698,10838323.0,0.79,9964383.0,0.72,873940.0,0.06,397981.0,288.0
37,India,2021-02-21,"Covaxin, Oxford/AstraZeneca",https://pib.gov.in/PressReleseDetailm.aspx?PRID=1699735,11085173.0,0.8,10124531.0,0.73,960642.0,0.07,400080.0,290.0
38,India,2021-02-22,"Covaxin, Oxford/AstraZeneca",https://pib.gov.in/PressReleseDetailm.aspx?PRID=1700035,11424094.0,0.83,10308552.0,0.75,1115542.0,0.08,415332.0,301.0
39,India,2021-02-23,"Covaxin, Oxford/AstraZeneca",https://pib.gov.in/PressReleseDetailm.aspx?PRID=1700269,11907392.0,0.86,10585757.0,0.77,1321635.0,0.1,435722.0,316.0
40,India,2021-02-24,"Covaxin, Oxford/AstraZeneca",https://pib.gov.in/PressReleseDetailm.aspx?PRID=1700553,12366633.0,0.9,10884879.0,0.79,1481754.0,0.11,454268.0,329.0
41,India,2021-02-25,"Covaxin, Oxford/AstraZeneca",https://pib.gov.in/PressReleseDetailm.aspx?PRID=1700888,13067047.0,0.95,11206188.0,0.81,1860859.0,0.13,460075.0,333.0
42,India,2021-02-26,"Covaxin, Oxford/AstraZeneca",https://pib.gov.in/PressReleseDetailm.aspx?PRID=1701203,13756940.0,1.0,11552857.0,0.84,2204083.0,0.16,472428.0,342.0
43,India,2021-02-27,"Covaxin, Oxford/AstraZeneca",https://pib.gov.in/PressReleseDetailm.aspx?PRID=1701292,14242547.0,1.03,11788669.0,0.85,2453878.0,0.18,486318.0,352.0
44,India,2021-02-28,"Covaxin, Oxford/AstraZeneca",https://www.mohfw.gov.in/pdf/CumulativeCovidVaccinationCoverageReportDay43ason28thFebat7am.pdf,14301266.0,1.04,11845075.0,0.86,2456191.0,0.18,459442.0,333.0
45,India,2021-03-01,"Covaxin, Oxford/AstraZeneca",http://mohfw.gov.in/pdf/CumulativeCoverageReport2ndMarch2021.pdf,14854136.0,1.08,12256337.0,0.89,2597799.0,0.19,490006.0,355.0
46,India,2021-03-02,"Covaxin, Oxford/AstraZeneca",http://mohfw.gov.in/pdf/CumulativeCOVIDVaccinationCoverageReport2March2021.pdf,15620749.0,1.13,12906771.0,0.94,2713978.0,0.2,530480.0,384.0
47,India,2021-03-03,"Covaxin, Oxford/AstraZeneca",http://mohfw.gov.in/pdf/CumulativeCoverageReport3rdMarch2021.pdf,16616048.0,1.2,13739121.0,1.0,2876927.0,0.21,607059.0,440.0
48,India,2021-03-04,"Covaxin, Oxford/AstraZeneca",http://mohfw.gov.in/pdf/CumulativeCoverageReport4thMarch2021.pdf,18005503.0,1.3,14796835.0,1.07,3208668.0,0.23,705494.0,511.0
49,India,2021-03-05,"Covaxin, Oxford/AstraZeneca",http://mohfw.gov.in/pdf/CumulativeCOVIDVaccinationCoverageReport5thMarch2021.pdf,19497704.0,1.41,15996683.0,1.16,3501021.0,0.25,820109.0,594.0
50,India,2021-03-06,"Covaxin, Oxford/AstraZeneca",http://mohfw.gov.in/pdf/CumulativeCOVIDVaccinationReport6thMarch2021.pdf,20922344.0,1.52,17168303.0,1.24,3754041.0,0.27,954257.0,691.0
51,India,2021-03-07,"Covaxin, Oxford/AstraZeneca",http://mohfw.gov.in/pdf/CumulativeCOVIDVaccinationCoverage7thMarch2021.pdf,20989010.0,1.52,17227903.0,1.25,3761107.0,0.27,955392.0,692.0
52,India,2021-03-08,"Covaxin, Oxford/AstraZeneca",http://mohfw.gov.in/pdf/CumulativeCOVIDVaccinationReport8thMarch2021.pdf,23008733.0,1.67,18943283.0,1.37,4065450.0,0.29,1164942.0,844.0
53,India,2021-03-09,"Covaxin, Oxford/AstraZeneca",http://mohfw.gov.in/pdf/CumulativeCOVIDVaccinationCoverageReport9thMarch2021.pdf,24367906.0,1.77,20004227.0,1.45,4363679.0,0.32,1249594.0,906.0
